Price,Close,High,Low,Open,Volume
Ticker,RBLBANK.NS,RBLBANK.NS,RBLBANK.NS,RBLBANK.NS,RBLBANK.NS
Date,,,,,
2016-08-31,288.4823913574219,294.35996110996325,264.20132546518226,264.20132546518226,79264509
2016-09-01,294.0227355957031,304.95886507409875,290.98760585269457,291.4693734120533,14699482
2016-09-02,290.2649230957031,297.7323194575013,287.66336679485204,295.32348192143735,4762383
2016-09-06,296.5279541015625,298.9367920715183,289.6386833884409,291.9511619586464,5777669
2016-09-07,292.9146728515625,301.3937700406256,291.37301079770793,297.5878240066262,4147204
2016-09-08,294.3599853515625,296.76882320222995,292.5774394611168,295.32352049182947,1509509
2016-09-09,287.904296875,292.57744832786955,287.2298398992286,292.57744832786955,1570381
2016-09-12,286.1217956542969,288.81968251134737,277.1127354564769,280.29238992405504,1779353
2016-09-14,286.1217956542969,292.2402207841894,285.2064254323897,288.19339049861367,1148592
2016-09-15,288.43426513671875,291.71027890323484,284.2428811773882,287.1334867486837,1288230
2016-09-16,290.79486083984375,293.3964171876463,288.53057703888317,289.6386364445192,1559076
2016-09-19,290.3613586425781,292.81836181195604,288.33792870056897,291.9511859524558,732837
2016-09-20,286.314453125,290.5058367501074,285.4954423974892,290.36131236401917,493343
2016-09-21,289.0605773925781,290.8912885017786,286.50721483989616,287.1335068766276,512999
2016-09-22,291.1321105957031,292.9146563260067,289.73500241068615,291.22846998202476,1107243
2016-09-23,292.24017333984375,296.7206349141704,290.4094625980014,291.9511245823579,1735881
2016-09-26,291.1803283691406,291.95114471208757,288.0970041878356,291.95114471208757,573498
2016-09-27,288.00067138671875,292.43293927981983,287.1334955696419,291.95117166980367,399580
2016-09-28,286.69989013671875,293.34830661331034,284.77281971562235,289.54233076974043,800367
2016-09-29,275.4747314453125,291.4694230192207,271.2833470845793,288.00069012051864,1238800
2016-09-30,280.5815124511719,283.08668089779894,275.6192817551416,276.53465212163184,678758
2016-10-03,286.7480773925781,288.9641965596953,284.4355988258558,287.61525317950395,770999
2016-10-04,286.69989013671875,289.01239816584336,285.68818992754757,288.19338735592515,638685
2016-10-05,284.8691711425781,288.96419567276587,284.24287915420734,288.8678362734565,629557
2016-10-06,293.2037048339844,296.28702876515024,285.2063756568601,288.09698081554444,2018179
2016-10-07,297.9732360839844,303.94716559437825,293.8782118209062,293.8782118209062,2853699
2016-10-10,301.6828918457031,303.41724352914014,297.39514823281405,300.5266377869036,870931
2016-10-13,295.0826721191406,300.0448728060692,292.72199898028254,298.69592932876276,634699
2016-10-14,303.22454833984375,309.5838573276786,295.2271882959798,295.8053153143543,2723451
2016-10-17,296.57611083984375,304.9107135075927,294.84175931167886,304.47711092317167,1042365
2016-10-18,296.2388916015625,301.0083729185585,291.95114845150965,298.0696024930789,1410353
2016-10-19,301.971923828125,304.4771212127261,300.52662103755824,300.57481544010017,1951746
2016-10-20,316.0876770019531,322.78425769209514,305.1515771681315,310.2583014234467,14969063
2016-10-21,316.5694885253906,319.893696835739,310.74011213712595,316.0395559100072,2572236
2016-10-24,321.43536376953125,322.68794782673655,312.57082774930825,317.29214457115575,2301063
2016-10-25,331.9378356933594,333.38313831611714,320.08636594864885,321.82071733405525,2684845
2016-10-26,340.5615234375,343.9820615877429,328.95090679707437,333.19045573681154,2416491
2016-10-27,347.9806823730469,353.61736837662284,331.11881875835775,340.4651206381167,2552663
2016-10-28,360.9884338378906,362.289212156105,351.44944184558324,351.49760684061533,3822219
2016-11-01,381.3672180175781,389.653626566806,378.8620500370241,381.7526556189808,4793590
2016-11-02,368.11859130859375,375.7787074924591,367.10689116571,375.7787074924591,2677682
2016-11-03,365.1316833496094,375.10424935194555,361.8556400780811,369.0339892283704,1872349
2016-11-04,352.605712890625,367.4441488661624,340.12792047667295,367.4441488661624,4093138
2016-11-07,369.2267150878906,372.88813723161934,358.62782746632007,360.36217913339954,2143425
2016-11-08,371.8764343261719,377.7058107143224,362.91553903116386,373.8516697886661,1945916
2016-11-09,363.2046203613281,371.6355537085756,317.9666290961923,322.7843052946195,7489091
2016-11-10,367.010498046875,377.7057430814069,362.86730905558863,372.1654164928404,3426477
2016-11-11,365.42071533203125,374.81518329376445,363.2527611870159,365.324355933523,2213653
2016-11-15,350.3895263671875,369.9974711488666,347.49892112383696,363.25272558104876,2301339
2016-11-16,341.1396179199219,361.22933225692833,339.16438256744163,361.22933225692833,2884543
2016-11-17,329.23992919921875,346.3908408507911,325.67483785136966,344.89737332668847,2473956
2016-11-18,326.59027099609375,335.3102528794745,325.67490078523673,329.62540102482643,1969726
2016-11-21,321.43536376953125,332.41965968692955,318.35203922212446,330.49258919599083,1668922
2016-11-22,331.64886474609375,333.3350515349442,319.9900816393749,324.181466109756,1410662
2016-11-23,328.2764587402344,335.06937022810166,325.77126130617484,335.0212052293694,1324444
2016-11-24,325.2894592285156,330.97431050026137,321.2907944003665,325.6748673918147,1137889
2016-11-25,338.2972412109375,339.64618471609134,328.6618884530342,328.8545778653344,2139191
2016-11-28,340.3206787109375,343.6930522509194,329.1436633831876,330.4926069182276,1775757
2016-11-29,346.5354309082031,349.76327972880125,339.212557462681,339.212557462681,1515335
2016-11-30,350.48590087890625,352.07572795039493,345.90910904612326,348.7997144141967,2231594
2016-12-01,339.5016784667969,353.61746513127497,337.5264134029051,353.61746513127497,1136639
2016-12-02,334.0576477050781,339.54978040798585,331.07068286414983,335.88835860604735,1280824
2016-12-05,337.6227722167969,339.06807520522904,333.3832226650155,334.05770915485635,775558
2016-12-06,335.0693359375,341.0914304007908,332.66049815218366,337.76722249515103,668599
2016-12-07,332.4196472167969,343.74118592635443,327.6019711701766,337.6227314661945,1530231
2016-12-08,341.1878356933594,342.0550115317833,333.2868349326922,333.2868349326922,1075910
2016-12-09,338.7307434082031,342.92212685988403,336.7555082689575,342.77760247977574,639742
2016-12-12,336.2256164550781,338.77897882870957,333.67222467668626,338.5862600287236,451324
2016-12-13,331.9378356933594,337.7672111765794,330.49253307060167,336.8518704916871,498168
2016-12-14,327.8428955078125,333.8649913106746,326.6866413517571,333.38322364644563,494081
2016-12-15,342.7294616699219,346.1499996611065,323.8441670113565,324.71134275794816,2148784
2016-12-16,339.5016784667969,346.48730958996236,338.6826675576107,344.8492877715901,876002
2016-12-19,333.72039794921875,339.5497737201954,332.6123384313586,339.5497737201954,496713
2016-12-20,332.3714599609375,337.33366007570976,330.49255466667233,334.05764646433886,808548
2016-12-21,331.64886474609375,334.7321600885619,329.6254347185204,333.8649841923916,981199
2016-12-22,327.7947082519531,333.38320101574556,326.83117298890187,331.456130489643,1389189
2016-12-23,324.3259582519531,329.81809131769626,323.6033068429268,327.6019720919201,687689
